epoch,train_loss,val_loss,frame_f1,mean_iou,segment_f1,epoch_time
1,5.3522877501386166e+26,0.3973633665254095,0.558729632178565,0.7673875041140767,0.7562710205054042,4089.72
2,25391608165.16663,nan,0.5688281289286412,0.7726067548485926,0.7604863782569007,2009.13
3,2.0754049169651703e+22,nan,0.5519974522639346,0.6867913248074939,0.6736288813427426,3397.42
4,4492478074617.515,nan,0.5787584907997736,0.7665809970009978,0.7534725387371878,489.64
5,7.395443678247097e-06,nan,0.5803915816900459,0.769283760799812,0.7563291928497152,503.26
6,1.7792898032832471e+25,nan,0.5768384794645637,0.7786114936415833,0.7651755327698528,2184.61
7,1.8125115313361526e+30,nan,0.5889036959656458,0.7840252099783207,0.7690784175133263,1958.74
8,2.7931134233070494e+28,54979.973553842654,0.5937801815357078,0.7859066282754382,0.7708089432857952,4073.67
9,3.1225532725915283e+30,0.3665489050108539,0.6049380851764438,0.7910424286672847,0.775509118757806,4089.21
10,2.5881320297001092e+16,nan,0.5973721414716805,0.7895063249772948,0.7746159849200203,556.15
11,9.754984193495624e+25,1.267142740387758e+25,0.5983653396251185,0.7872756342549563,0.7725325950205028,2041.11
12,1944353844943490.8,nan,0.5904603328655312,0.7852086053880237,0.7688208830918892,684.8
13,8.646747558192314e+26,1.4203941216531952e+24,0.610674336590516,0.7929210362087095,0.7769589087693014,2982.86
14,1.2835338971031485,2023981.430304015,0.6127608171011896,0.7950742566111266,0.7783482129115076,1057.66
15,1.7324188336475907e+17,20443768.98957307,0.6028809051874343,0.7926541000642138,0.7759800350157592,4147.5
16,794027501.7248349,nan,0.5936104560156946,0.7877797688861583,0.7717531836420034,2776.98
17,57708136.30333696,1.6847589069294742,0.6049000054268412,0.7918886875886946,0.7758327188136476,1759.65
18,7.73372110692292e+21,nan,0.6191817275874997,0.7976513605090484,0.7809466429042161,2993.99
19,5.3797337981070095e+20,17943786571255.59,0.6011211599142097,0.7904201662715029,0.7749707897593471,1822.18
20,1.3062344447929738e+24,nan,0.608671789588827,0.7956427201178273,0.7786552617018344,3848.8
21,1.1039801384092112e+28,nan,0.6105382954932769,0.7965265012690443,0.7789563246521509,1631.41
22,6720183516.4978485,151243.37697615052,0.621855048998942,0.8006583506338293,0.7828085391974282,704.99
23,9.56214160484552,6.521313251514339e+21,0.6215492096976462,0.7983760672040511,0.7812580851037872,1089.54
24,2.58357581608555e+18,6.847134875648666e+28,0.6197469738809279,0.7980879980872612,0.7809199838304316,617.38
25,2.5561751015866915e+17,1.9599797562781793e+25,0.62537617967625,0.8005280364731546,0.7838896385793843,2512.25
26,7.319823372785102e+26,1.5113517012293637e+22,0.6202751619616812,0.7985057771857857,0.7819553761631567,4081.29
27,2.570681626939891e+18,nan,0.6185400847630663,0.7977700382832563,0.7801900473459346,1361.3
28,8.128885957139963e+27,979428.9723148587,0.6216736841786747,0.7993141169492773,0.7823935447038682,4059.56
29,1.9592942446129774e+22,1644397170938493.8,0.6190440296147044,0.7988666337885895,0.7806222651112784,4120.77
30,1.1226788191156755e+30,1.9666734370433792e+30,0.6289582597074084,0.8034908147488042,0.7854818688006915,4097.22
31,2.1839247381940535e+25,193390012313555.06,0.6310985520360041,0.8036312303155431,0.786180560068067,4032.39
32,1.2785383951032492e+18,49868672012198.984,0.6341632044014611,0.8045899925990936,0.7863174377702431,4090.52
33,90.2700137762425,300436517673254.44,0.6219844333578551,0.7997095407364059,0.7821367562401974,3934.39
34,8.825148667493724e+23,9.693245652807195e+20,0.6321947168748356,0.8055564742549438,0.7865731708175737,4149.54
35,43.704986512716694,0.3557033397790775,0.6284031967425073,0.8040781720565671,0.78551483446073,4086.55
36,28563.845284514915,49199174.3770443,0.635016250888285,0.8054891990280039,0.7875827690981091,3965.28
37,82987464791417.0,16035.861565477471,0.6308959842515247,0.804931019390064,0.7860681003321965,3992.92
38,409658786.18505436,2.9593172248274227e+18,0.6300976393699553,0.8041954712887893,0.7858753078197525,3379.14
39,583598126408.8469,1.4557414742090343e+23,0.6332119841845674,0.8052094413635752,0.7867056994941876,2940.21
40,230205414.0960268,66229660.341648914,0.6345265966462927,0.8062907411922262,0.787722537274776,2245.9
41,1.1972098649534508,17622547.43960437,0.6358724939291838,0.8064243715178624,0.7877845965532533,2253.92
42,43209953589625.27,2300569329.6385093,0.638483159219998,0.8071395635283085,0.7889214122972416,2258.01
43,744250.9459168413,783469555.8007761,0.6393189093870366,0.8075752654759473,0.7891952110626103,2264.93
44,17658.192308004862,5.203888547974121,0.6376276734530314,0.8069170169256514,0.7885401986431562,2251.57
45,511473.41476176144,219.83000764143375,0.6366550308303383,0.8066396746269576,0.7880201821574818,2251.69
46,10.462881169631927,10850979.564202635,0.6406557425124745,0.807773596665258,0.7891163045975788,2249.59
47,0.40095775590001337,14858945.029178133,0.6395328886580323,0.8076387610813772,0.7889508795337292,2295.91
48,0.33380244917389706,3731619.8495531506,0.6399994650782838,0.8076604290488659,0.7890827302086978,2374.5
49,0.2898132354871202,2027982.4520704474,0.6399770294258884,0.807823383486719,0.7891975323854126,2366.67
50,3065.635294725427,2711634.8098277585,0.6399868356069079,0.8075653848789128,0.7889908486626287,2360.44

Average Time Per Epoch:,43m 49s
Total Training Time:,2191m 27s
