epoch,train_loss,val_loss,frame_f1,mean_iou,segment_f1,epoch_time,epoch_nan_count
1,0.5247520958576378,0.41768103865812206,0.7566283326594382,0.6823476768933763,0.6469255255913338,88.15,0
2,0.4802838607062654,0.40429505991050974,0.7688832376069998,0.698806375161717,0.6679170390861168,88.38,0
3,0.4645687149171614,0.3883592651274395,0.7749256178147828,0.6917292633577893,0.6716025738392435,88.39,0
4,0.45455127979008264,0.38881855051354125,0.7784624554916335,0.704011055833172,0.6709913920309607,88.11,0
5,0.4471371859871048,0.37609045422868803,0.7814297493040353,0.7078120907888608,0.6790524494943282,88.35,0
6,0.44177017951891234,0.37410551025783895,0.7826839315340374,0.7088664619676063,0.6814363535857414,89.22,0
7,0.43653744850399095,0.36345375851473166,0.78854761111278,0.7116244745808966,0.6928529662136157,89.21,0
8,0.43205710037090667,0.3627628869812847,0.7929288475666039,0.7144120734738132,0.6956855233294535,88.8,0
9,0.42797405556659657,0.3633562594870848,0.7896977417800309,0.7158130125563222,0.695890127220786,88.42,0
10,0.4246995566990885,0.3593562994076795,0.7967508382045889,0.7135065754236943,0.7018532713286756,88.43,0
11,0.4211718193049735,0.36237705456929886,0.797928325895119,0.7172885052835694,0.705702526413672,88.52,0
12,0.4179809453806539,0.35627212791901863,0.7981695813942099,0.7215369363959153,0.7066805664141106,88.38,0
13,0.4152620800374424,0.3569840764724398,0.79757179390262,0.7159010751567673,0.7078500838433956,89.01,0
14,0.41281190944936075,0.35514888312271164,0.8006402323803166,0.717018706445666,0.7104995725310825,88.79,0
15,0.410044245070898,0.35208255830189417,0.8009259908379689,0.720101441077963,0.7096823167288187,88.92,0
16,0.4077296451585118,0.3518017975938337,0.8009648581582107,0.715629949081064,0.7074197162072177,88.39,0
17,0.4058138618280311,0.35433517056092545,0.7986164760429811,0.7168663006712296,0.7092127647134395,88.47,0
18,0.4038694788860957,0.35762302745983154,0.7984769510286704,0.7191758471576045,0.707867466939451,88.95,0
19,0.4017798624646792,0.35346301708361005,0.8011747874123909,0.7185092335395423,0.7123109101712933,88.51,0
20,0.39993606911981766,0.3562544101807509,0.8022579466774911,0.7240483694420324,0.712897107513335,88.61,0
21,0.3979115633792849,0.3563994247618924,0.8032960505808241,0.7178269048236857,0.7131569014000743,88.28,0
22,0.395936795668551,0.35277175820335066,0.8001910721407822,0.7154269017863624,0.709792429290743,88.41,0
23,0.3944695514436094,0.3538895743565533,0.803717971184624,0.7255205581440964,0.7161042804582224,88.79,0
24,0.3926061112247419,0.34769074241095854,0.804929012341547,0.7197585564513328,0.718204944326341,88.68,0
25,0.3908802781777644,0.3537783690883992,0.8021674143992445,0.7235809482356086,0.7121989959137451,88.68,0
26,0.3892527860012925,0.3554237232019659,0.8047088967698091,0.7175142230459205,0.717412331797514,88.54,0
27,0.387227293214991,0.350176423353873,0.8077597968062289,0.724206108211477,0.7177986938943401,88.65,0
28,0.38560975045123075,0.35733717245425767,0.8074228593428091,0.7224307284557699,0.7214563809290908,88.38,0
29,0.3840360937810822,0.35845709208090715,0.8021920890484371,0.7226682991604766,0.7131701663970342,88.79,0
30,0.38243364275108455,0.34963440944006463,0.8067047775432267,0.7299707047013652,0.7175096667501963,88.31,0
31,0.3808472899329173,0.3521201733064781,0.8054736198547301,0.72187143202084,0.7190432577576387,88.64,0
32,0.3791263359287912,0.35859295295951005,0.8045805579093134,0.7202254217130193,0.716048924448203,88.17,0
33,0.377567316581837,0.3644247394007146,0.8075982360837086,0.7254883116461679,0.716587715590561,88.27,0
34,0.3759616094882996,0.3591582415258902,0.8068810071585286,0.7254227933270057,0.7194571959935101,88.6,0
35,0.37460295264154225,0.3582507681059871,0.8048514020401834,0.7235976036626997,0.7176141517202709,88.44,0
36,0.37260022558608297,0.36560494641181884,0.8050692352561138,0.7191251521764604,0.7187434063129338,88.14,0
37,0.37121322482447655,0.3591644003046551,0.8061801508952828,0.7263589725706936,0.7159416079610234,88.53,0
38,0.36919365462724835,0.3708755884278641,0.8052278266932817,0.7176232541749066,0.7183110229646806,88.5,0
