split,model,video_id,length_frames,mode,time_seconds,peak_mem_gb,f1,status
test,stgcn_mamba,1179868_A,24068,chunked,0.48330458300188184,0.06625986099243164,0.691157912510795,ok
test,stgcn_mamba,1179868_A,24068,streaming,0.10208210302516818,2.298229217529297,0.22185376964926476,ok
test,stgcn_mamba,1179868_B,24068,chunked,0.3401804059976712,0.0665292739868164,0.6624921071644235,ok
test,stgcn_mamba,1179868_B,24068,streaming,0.10152326000388712,2.298229217529297,0.608983478644599,ok
test,stgcn_mamba,1179224_A,58144,chunked,0.822486619988922,0.0916757583618164,0.6737668183957487,ok
test,stgcn_mamba,1179224_A,58144,streaming,0.2218695369665511,5.491983413696289,0.4287388624902302,ok
test,stgcn_mamba,1179224_B,58144,chunked,0.8207777290372178,0.0920562744140625,0.6173276306159997,ok
test,stgcn_mamba,1179224_B,58144,streaming,0.22177036898210645,5.491983413696289,0.521218967901305,ok
test,stgcn_mamba,1180022_A,1510,chunked,0.0226936909602955,0.05095386505126953,0.6061052734182795,ok
test,stgcn_mamba,1180022_A,1510,streaming,0.006143324018921703,0.18388652801513672,0.6256519907664829,ok
test,stgcn_mamba,1180022_B,1510,chunked,0.02270444796886295,0.050321102142333984,0.3333333333333333,ok
test,stgcn_mamba,1180022_B,1510,streaming,0.004967899003531784,0.18388652801513672,0.33311243649215816,ok
test,stgcn_mamba,1187154_A,8088,chunked,0.11486987100215629,0.0543212890625,0.3331477701490691,ok
test,stgcn_mamba,1187154_A,8088,streaming,0.03006792499218136,0.8002352714538574,0.3217552613062112,ok
test,stgcn_mamba,1187154_B,8088,chunked,0.11428071703994647,0.05439472198486328,0.6344114727749263,ok
test,stgcn_mamba,1187154_B,8088,streaming,0.02965891401981935,0.8002352714538574,0.5998078534320946,ok
test,stgcn_mamba,1583214_A,36575,chunked,0.5135142960352823,0.07550811767578125,0.6647038064377121,ok
test,stgcn_mamba,1583214_A,36575,streaming,0.17151949001709,3.470062255859375,0.3842954520888174,ok
