epoch,train_loss,val_loss,frame_f1,mean_iou,segment_f1
1,0.04618084778142795,0.04025589307784138,0.4602831117900004,0.23798498930415005,0.2353048235671648
2,0.03871684291675378,0.03859920407596387,0.47245331243764,0.23727724033195702,0.23550433160736642
3,0.036896267286703525,0.036042336913708006,0.4922173486860337,0.30595562600559917,0.24082108449781478
4,0.05149936627968444,0.035633435700424855,0.5047789721019326,0.35702102552148757,0.2512774357163213
5,0.03535611924001501,0.03509903854963587,0.4883785999141361,0.3397005398869029,0.24747722992494664
6,0.034752066127899786,0.03431837330747368,0.5040081596706931,0.3637840891438203,0.2535641857289623
7,0.03416451524588825,0.03419552121269412,0.5254409968831859,0.40681271942336367,0.27521921474976213
8,0.033686444890315304,0.03330349326974019,0.5153813107448006,0.39816229025040767,0.2693888876673817
9,0.03319844450422768,0.03291476641508533,0.5310830988782106,0.43373845221076696,0.2963141972979902
10,0.03279458508579492,0.03278320694790411,0.5143093559011603,0.4001645040404685,0.2641675108776104
11,0.03242003256297213,0.03237928007554291,0.5280150302224472,0.437613158709008,0.2873872710826471
12,0.03207785095721343,0.03240394789753552,0.5358360804800244,0.44728144370871503,0.2908047115726533
13,0.03171944377589585,0.03191034909323754,0.5548143904285797,0.4609092420509881,0.3318378078367877
14,0.031501184216754866,0.031539807838380784,0.5402542508280869,0.4503675098863888,0.32328874925518924
15,0.031171106592192546,0.031317122634220165,0.5450482503214391,0.45446675818580473,0.3329094369849801
16,0.03086345840031509,0.03108298159869654,0.5450975728050544,0.45353360291875966,0.32309908309012897
17,0.030603422906965355,0.031083007826280772,0.5482434903445866,0.46594700356662916,0.3489137096146828
18,0.03037477897395943,0.030816496328863883,0.5500544504770004,0.46803924826515797,0.3278840639130283
19,0.03016997659368451,0.03072920839715385,0.5594304143438452,0.473405896264704,0.3590517714522421
20,0.029958363035746383,0.030591332997874657,0.5532148774448901,0.47120524072402226,0.3464901736556894
21,0.029780104856327764,0.030981728131357664,0.5612273620491188,0.46575446345057747,0.3614163310280638
22,0.02961104532367008,0.030748680367001464,0.560957868982525,0.4697000680391222,0.3615124248737703
23,0.029463694098523053,0.031488037549127317,0.5703804520834007,0.4737551198877227,0.38328542001342203
24,0.029336010694342426,0.030429945040242115,0.5650057564452599,0.4795022641952968,0.3637394471328476
25,0.02922652871128726,0.032268627809318606,0.5634165400851678,0.47308331728331826,0.3694379510402049
26,0.029133259061822167,0.03436267572714198,0.5655281261051496,0.4764477246867489,0.3705516377665604
27,0.029064383762037967,0.032747873868373106,0.5658548510599004,0.47934965426616183,0.36946372545192385
28,0.02901486089723202,0.0359167862837588,0.5663729580480433,0.4787026931942932,0.37296988859937175
29,0.028976485163864387,0.03507347547456174,0.5676304318235734,0.47766201985677137,0.37408838059720745
30,0.02895661598341557,0.035830610949910226,0.5663688396809886,0.47734939475051724,0.3729506875198435
