epoch,train_loss,val_loss,frame_f1,mean_iou,segment_f1,epoch_time,epoch_nan_count
1,0.7347563776766651,0.49239230699462666,0.722133670152291,0.7223672715539117,0.7137139691545876,545.24,0
2,0.6227063108471526,0.47193070211163135,0.7382747798983809,0.7330365137228932,0.7221317712589201,545.31,0
3,2213282550079.26,0.4586687938658971,0.7466997770957391,0.7405065121224208,0.7350624983237954,547.33,0
4,57.27101468898088,488009964.3513897,0.7511429948997348,0.7479886057807569,0.7395444230809275,547.61,0
5,5.756783559107289,0.5184656091132733,0.7558596594924802,0.7448931498784218,0.7434434788957046,545.65,0
6,116.98480036235136,0.6157215683955589,0.7564220617340522,0.7484020102796591,0.7458944808844287,547.95,0
7,0.6692921893339225,0.450725947416362,0.7565382235758235,0.746954476663351,0.742607870229236,546.2,0
8,9216.114099614304,0.4475201553667507,0.7591333992119368,0.750802347510976,0.7478717772485153,545.64,0
9,5.065172924673308,1.0033603775900009,0.7589691827741976,0.7524644281159282,0.748069395183413,546.25,0
10,2600198574588.3647,426238.98197731073,0.7604998351188936,0.7523262958508926,0.748845036745571,545.74,0
11,1.7467596927349956e+16,0.4448393670081428,0.7596336634984477,0.7515867098857587,0.7478834529699713,546.35,0
12,11671150.19873041,32.4565539284343,0.7599902415686475,0.7552057827776208,0.7476789108338047,546.47,0
13,4.0703921258325363e+24,7147970425457200.0,0.7601466202705814,0.7519223042316162,0.7507114005094226,547.26,0
14,56465168396148.484,549507377.1272504,0.7611674962220427,0.7515352655875339,0.7476228111559737,547.4,0
15,76924634299.79758,10.390766873630277,0.7622706741298533,0.7550866466565689,0.7509206519742605,547.06,0
16,74.92594350036039,0.4470174568521877,0.7647688758810114,0.7524485236906856,0.7524428201367415,547.63,0
17,250.16931974923105,1.4585393173834476,0.7628201636220268,0.7540410706617703,0.7521222735625155,545.9,0
18,27425.221378255712,32.74434622513302,0.7631762221235209,0.7546717772332416,0.7522914775500935,546.21,0
19,0.3981164292708606,339.76714846244613,0.7647471724924786,0.754609765908467,0.7520120814205374,547.28,0
20,15.554689458786171,12.158198294527589,0.761502154494056,0.7554802523611756,0.7510288573021869,547.98,0
21,0.39134114294194566,0.4931893935805789,0.7617808014581532,0.7554118495263137,0.7524664493869262,546.97,0
22,402105759.19593346,0.47034822404601623,0.7649871112318917,0.7548130466097764,0.7521576485606533,547.14,0
23,0.6836835206680734,5834550388.231313,0.7629756444638264,0.754834649434127,0.7524360086926898,546.98,0
