frame_idx,left_wrist_speed,right_wrist_speed,left_wrist_accel,right_wrist_accel,left_dir_change,right_dir_change,inter_hand_distance,left_dist_to_rest,right_dist_to_rest,left_dist_to_face,right_dist_to_face,left_hand_spread,right_hand_spread,activation_ratio
0,0.10099125653505325,0.026664327830076218,0.04974713176488876,0.008337315171957016,0.9997860193252563,-0.8031798005104065,0.6349731087684631,1.1965349912643433,1.0202490091323853,1.0144480466842651,1.0780404806137085,0.16318397223949432,0.191305011510849,0.20886074006557465
1,0.1487583965063095,0.03461643308401108,0.04776713252067566,0.007952102459967136,0.9957818388938904,-0.6408518552780151,0.6940451860427856,1.2992745637893677,1.052001953125,1.200321912765503,1.263885498046875,0.19592654705047607,0.2189784198999405,0.18876388669013977
2,0.14793580770492554,0.0039809816516935825,-0.0008225851925089955,-0.030635450035333633,0.9899532794952393,-0.9942909479141235,0.7229383587837219,1.3676292896270752,1.0456347465515137,1.2169491052627563,1.2721878290176392,0.29743722081184387,0.1908450573682785,0.02620329149067402
3,0.13245460391044617,0.009416711516678333,-0.015481201931834221,0.0054357293993234634,0.9673449397087097,-0.8637938499450684,0.776174008846283,1.434418797492981,1.0439904928207397,1.1105420589447021,1.174557089805603,0.3300569951534271,0.18844349682331085,0.06637033820152283
4,0.10327257961034775,0.010219165123999119,-0.02918202616274357,0.0008024542476050556,0.9997825622558594,-0.8696790337562561,0.7822010517120361,1.4674897193908691,1.0336929559707642,0.9591758847236633,1.0243982076644897,0.3527795970439911,0.18207910656929016,0.0900353193283081
5,0.06228799372911453,0.01037236861884594,-0.04098458215594292,0.00015320329112000763,0.9753327369689941,-0.9013092517852783,0.8026263117790222,1.4974421262741089,1.0560121536254883,0.9209281206130981,0.9891571402549744,0.3593102693557739,0.2039273977279663,0.14273175597190857
6,0.058724984526634216,0.0071334149688482285,-0.003563010599464178,-0.003238953649997711,0.9984008073806763,-0.981040358543396,0.804724395275116,1.5318242311477661,1.040742039680481,0.9288514852523804,0.989605724811554,0.3514845073223114,0.18500125408172607,0.10829798877239227
7,0.06430373340845108,0.00939107034355402,0.005578747019171715,0.002257654909044504,0.9995841979980469,-0.9946760535240173,0.8348102569580078,1.5676214694976807,1.055540919303894,0.9120612740516663,0.9729321002960205,0.33857253193855286,0.19599613547325134,0.12741462886333466
8,0.068501316010952,0.0066788941621780396,0.004197581671178341,-0.0027121761813759804,0.9993808269500732,-0.9461795091629028,0.843938410282135,1.6021997928619385,1.054453730583191,0.825946033000946,0.8801783323287964,0.3282557725906372,0.1817711740732193,0.08882664889097214
9,0.05724846571683884,0.005676655564457178,-0.011252845637500286,-0.0010022384813055396,0.9406043887138367,-0.9700687527656555,0.8634898662567139,1.619978427886963,1.0638278722763062,0.7899655699729919,0.8511175513267517,0.3180806636810303,0.1985999494791031,0.09019853174686432
10,0.03527959808707237,0.005776352249085903,-0.021968869492411613,9.969666280085221e-05,0.5942633748054504,-0.9969391226768494,0.8428714871406555,1.6102886199951172,1.0382018089294434,0.7447218894958496,0.8093345761299133,0.31304043531417847,0.17412012815475464,0.1406603753566742
11,0.044654570519924164,0.006087356712669134,0.009374973364174366,0.000311004783725366,0.003166430862620473,-0.9719147086143494,0.813784658908844,1.5663782358169556,1.0566749572753906,0.7970796227455139,0.8728441596031189,0.2386692613363266,0.20581436157226562,0.11994335800409317
12,0.09149463474750519,0.0018976109568029642,0.046840064227581024,-0.004189745988696814,0.9999193549156189,-0.9981144666671753,0.7659569978713989,1.5234116315841675,1.0442172288894653,0.8787955045700073,0.9583303332328796,0.20851832628250122,0.17938539385795593,0.02031654492020607
13,0.06586061418056488,0.0025152715388685465,-0.02563401870429516,0.0006176605238579214,0.5561975240707397,-0.9992961287498474,0.7507331967353821,1.5161608457565308,1.0667059421539307,0.991359293460846,1.0698003768920898,0.17998793721199036,0.19446082413196564,0.03678056597709656
14,0.01094671618193388,0.03217174857854843,-0.054913900792598724,0.029656479135155678,-0.9184020161628723,-0.28983163833618164,0.7868154048919678,1.5191103219985962,1.0415362119674683,0.8955351114273071,0.9901702404022217,0.1988467574119568,0.1849113404750824,0.7459516525268555
15,0.017281124368309975,0.027185214683413506,0.006334408186376095,-0.004986535757780075,0.17472854256629944,-0.6044064164161682,0.7619378566741943,1.5282306671142578,1.0453029870986938,0.9681664705276489,1.041447401046753,0.22143225371837616,0.16903774440288544,0.6112287044525146
16,0.01681106723845005,0.025191577151417732,-0.00047005622764118016,-0.001993637066334486,-0.08727274090051651,-0.5841348171234131,0.7749154567718506,1.5365327596664429,1.0702043771743774,1.0598866939544678,1.1249653100967407,0.2467842698097229,0.17415621876716614,0.5996189117431641
17,0.034333765506744385,0.03038829378783703,0.017522696405649185,0.005196716636419296,0.9822445511817932,-0.22314725816249847,0.811575710773468,1.5396027565002441,1.051760196685791,1.0195964574813843,1.0940996408462524,0.26337698101997375,0.16096696257591248,0.4694473445415497
18,0.028623921796679497,0.0358598530292511,-0.005709843244403601,0.0054715583100914955,0.9983590245246887,-0.09989039599895477,0.829597532749176,1.5423792600631714,1.0714043378829956,1.019785761833191,1.0947271585464478,0.2678835093975067,0.17256249487400055,0.5560203790664673
19,0.01658586971461773,0.02437257394194603,-0.012038051150739193,-0.011487279087305069,0.860419750213623,-0.604069709777832,0.8071021437644958,1.546170949935913,1.0748589038848877,1.1766655445098877,1.228633165359497,0.2645929753780365,0.14142456650733948,0.5949109196662903
20,0.008286049589514732,0.03786741942167282,-0.008299820125102997,0.01349484734237194,0.9813402891159058,-0.05271860212087631,0.8055608868598938,1.5541300773620605,1.1022471189498901,1.1112414598464966,1.1626580953598022,0.2563561201095581,0.14061443507671356,0.8202897310256958
21,0.013429108075797558,0.06021258234977722,0.005143058951944113,0.02234516106545925,-0.40071529150009155,0.8830154538154602,0.7758947014808655,1.5474238395690918,1.1412116289138794,1.063053011894226,1.1086459159851074,0.24833497405052185,0.14172866940498352,0.8175315856933594
22,0.04137316718697548,0.08592353016138077,0.027944058179855347,0.025710951536893845,0.9945436120033264,0.9989688396453857,0.7384251356124878,1.5215481519699097,1.187934160232544,0.9396347999572754,0.9818591475486755,0.251628577709198,0.1562202423810959,0.6749333143234253
23,0.0599379800260067,0.10144641995429993,0.01856481097638607,0.015522886998951435,0.999358057975769,0.9996764659881592,0.704426646232605,1.4947657585144043,1.2351282835006714,0.9062579870223999,0.9422691464424133,0.24859502911567688,0.18609552085399628,0.6285622119903564
