epoch,train_loss,val_loss,frame_f1,mean_iou,segment_f1,epoch_time
1,0.5838683223512859,0.5059045236304653,0.7093044519457213,0.731184884425819,0.7216037059529021,598.69
2,67323290168569.56,0.4752141038085473,0.7214109544811612,0.7329524469925615,0.7269014515896327,598.92
3,2.280117431833978e+26,9.578000047577415e+22,0.7346017058642632,0.7484175873118069,0.7402012586939889,594.97
4,2.3540731176152976e+26,0.473055556964725,0.7419936367024454,0.7519028461161656,0.7443888053165372,603.72
5,6.3626500192996385e+28,3.875104716975934e+19,0.7483895520725925,0.7533665865373556,0.7442025377876114,599.89
6,626659041049124.6,6.242251068593222e+17,0.7472509623822774,0.7516183117679541,0.7429444985009636,595.88
7,7016392099.403432,3.835312093149058e+20,0.7457161506758444,0.7561677884272223,0.7476415132360413,598.41
8,41323480787525.46,769.5989966563657,0.7434056354519389,0.7532294833802002,0.7447858109850477,601.26
9,2.2234535118084088e+26,0.4445794665956765,0.7429979287980019,0.7525924191141032,0.7439270616979272,598.27
10,7649659679.012653,0.4373217397890898,0.7507371213585393,0.753892283256981,0.7459803565908976,600.4
11,1445616783.614508,12916149.429755077,0.7504250824912873,0.7502598212935049,0.7425718906984191,598.0
12,1430565.2407380878,0.4387247918997401,0.7541413762219452,0.7622932415423931,0.7545812697506599,605.7
13,1225578455161.4302,0.44065345344341245,0.7516990251428901,0.76088132671903,0.7532893230891858,597.87
14,6051594003101741.0,0.4363342914552467,0.7538953541483047,0.7589067521324666,0.7511830564873039,600.99
15,4.905284083162778e+25,0.43558101116544384,0.7541792499792089,0.7619425278792125,0.7538489388151223,599.65
16,26978986684.6285,0.43874740879528334,0.7551146288502623,0.7618143242879862,0.7540097425212996,601.03
17,196805.59305656218,0.44243260147318836,0.7531989871545539,0.7621742842672057,0.7556824480253619,603.09
18,552797208.9213898,3.206227292813692,0.7562192970718875,0.7644420582157597,0.7572723645032896,605.7
19,56448725918.17798,0.44310861735836765,0.7568457885551233,0.7646255677124272,0.7559839168558843,606.85
20,25607094852.93919,0.4477631866948332,0.7548806544376921,0.7626512814655766,0.7548754126056572,604.57
21,26625.873453826516,0.4455844977643547,0.7555155414751203,0.7635337050937134,0.7562768209499611,596.12
22,4385574.57815584,0.4475480507911603,0.7556231673565065,0.7655573186407341,0.7585188305124253,597.5
23,17402829217.31051,28945292662229.26,0.7563469794498775,0.765452300805636,0.7583619094761698,603.31
24,1.7842855025952358,177759.147745192,0.7530158315177689,0.7654550364627694,0.7581126760487877,598.71
25,1.5894698973920494,1471252.1173868002,0.7549443926340561,0.7641592058611606,0.7566174593621823,604.13
26,1.840422869515461e+16,0.4573707721242414,0.7542213067265302,0.7645703794318642,0.7566169063094361,597.82
27,21624.228435596786,0.46492120683710914,0.7546840860007438,0.7648467663791594,0.7572498600436963,602.74
28,556727340556.8618,0.8403296437538805,0.7526615531612934,0.7643843054087985,0.7570650029440817,601.54
29,22196239195.521946,1.1488697309023475,0.7521215300448175,0.7641598622008386,0.7566997513847605,603.78
30,990762.3678578696,0.47330577100178767,0.7512013661556399,0.7622122076672191,0.7547960296893614,594.59
31,3780.7349857133904,0.47713663890925206,0.7550615995349395,0.7647835221275999,0.7574820064183945,604.46
32,229.4768769419205,23559.02939003627,0.7526688422119823,0.7636357592957151,0.7560994372744242,603.69
33,0.363185703799184,679385.05246945,0.7520404693522844,0.7632161532875852,0.7555127741231719,603.3
