epoch,train_loss,val_loss,frame_f1,mean_iou,segment_f1,epoch_time
1,0.05298712111399167,0.04432737117255092,0.5312981450960352,0.5004162127374918,0.3003651899530498,497.0
2,0.04316578216310556,0.040897275482241376,0.6136212561899045,0.514899485863743,0.40771974008384665,191.95
3,0.040551731198948934,0.03825374280935839,0.6149612888104526,0.5311903478079605,0.4119319151225392,196.46
4,0.03933036288513106,0.037850574240144486,0.6336393863699622,0.5066040186330983,0.4406727595385714,195.76
5,0.038160768607648866,0.036554137223813316,0.6453498421779593,0.516252032646624,0.4602421492824062,196.97
6,0.037549765706904194,0.036193725050784144,0.6408864962524061,0.5278427527577002,0.4469797718110686,195.22
7,0.03679962857870171,0.03598672892422156,0.6512683670541717,0.5323600809021127,0.4693367661599425,195.51
8,0.036252483043279465,0.03614807121203582,0.649820753841581,0.5270799210658597,0.47009089641803486,195.53
9,0.03587853313965649,0.03522258460577717,0.6493146522531716,0.5371486467994638,0.4619088164375863,194.78
10,0.03537746339075253,0.034726463944504134,0.6540611970879072,0.5110734918786493,0.4750566387224546,196.36
11,0.034951515203752254,0.03493516349506782,0.6524593308057355,0.54462311584161,0.45923956869294136,194.67
12,0.03458679361942377,0.0342832469710506,0.6685300882896471,0.5275738092918248,0.49005144254364735,196.52
13,0.034235580331468764,0.03409892389256703,0.6727662209516702,0.5272303542962414,0.49742220006922516,197.22
14,0.03389641202516194,0.033861378095763964,0.6742676949014614,0.5253653899225406,0.5017191944557575,200.31
15,0.03357328704458341,0.03375365015091304,0.6720579274953928,0.5305061763723373,0.48902560759868485,198.73
16,0.033243059752449365,0.03365643839947039,0.6680048488944048,0.5383572401450551,0.4911711469917192,198.23
17,0.03294705970058474,0.033772281840219534,0.6734027877145534,0.5223624822686448,0.5002108161324859,200.11
18,0.032646329664816405,0.033453300154130707,0.675071981733431,0.5341734447022738,0.49618716553378145,199.16
19,0.03237781882559681,0.03343920910352827,0.670939113925084,0.5304582457837134,0.4943032884105331,197.48
20,0.03211465097609521,0.03336029703539789,0.6804580325478397,0.5371550725844896,0.5004090640758726,196.45
21,0.03184865740357623,0.03322084479846228,0.6817767096495357,0.5244332405602569,0.50478449870812,197.24
22,0.03161503431929202,0.033250196493769944,0.6775305053975454,0.5304674144991474,0.5006772231244225,198.9
23,0.031385001061719243,0.03343740946620254,0.6869594102790426,0.5336982582505938,0.5077461396168346,296.63
24,0.03120702292538632,0.03329282805071514,0.6838749306067141,0.5313632893264962,0.5107239837739163,315.27
25,0.03105796064581659,0.033288503541870226,0.6826205708097702,0.5311916195156778,0.5044387251806146,191.61
26,0.030898154006390472,0.03332050917740155,0.682313630307348,0.5266607388558215,0.5081486470188461,191.95
27,0.030809816256298802,0.03325414466426561,0.6784342498678056,0.5289201920723146,0.5011969631495887,191.17
28,0.03071364294036016,0.03330782170694573,0.6827200287138084,0.531183004702309,0.5064178699877617,190.7
29,0.030658696708839434,0.03330038367469508,0.6826869731246143,0.5293955734373392,0.5059174083636754,191.32
30,0.030616095322035183,0.033299645352968595,0.6829947525371596,0.5305529146705474,0.5070530445392029,190.78

Average Time Per Epoch:,3m 33s
Total Training Time:,106m 30s
