epoch,train_loss,val_loss,frame_f1,mean_iou,segment_f1,epoch_time,epoch_nan_count
1,3.239729182074088,0.42591704014449605,0.7444074722689792,0.664122056536508,0.6208335670654116,157.37,0
2,2.4346600223406814e+20,0.43996354439877905,0.7664175123212537,0.6850674051706452,0.6584249250922248,157.67,0
3,73365046.05239265,0.3868900440512162,0.776029024022863,0.6975261245129895,0.6765050696220993,158.35,0
4,0.44567982476737017,0.38260540950294536,0.7776217321360183,0.7021914102138944,0.6734203071779198,158.34,0
5,793162.8283513138,110519.22662990281,0.7869954618586663,0.7060758333224124,0.6837873092140565,158.13,0
6,34.89091636651951,0.3714809696381987,0.7858137960682701,0.7071461755557462,0.6916157709214054,158.3,0
7,0.4577253489721487,0.37273519145412287,0.7857952762513709,0.70679691696933,0.6847246986700636,158.32,0
8,12520145235623.664,0.3603255097702729,0.7940959416799824,0.7098728116899522,0.6953677940791014,158.4,0
9,57485.928086319815,0.36315895609378285,0.7911912574991395,0.7072555032477295,0.6973447726736005,158.42,0
10,1.4358248470986095,1995613.5696844861,0.7937821698101467,0.706355842819104,0.6984401149559866,158.08,0
11,1.4307484845036324e+20,0.5726079624379281,0.7963383686375135,0.7139847105949795,0.7031668081640372,158.24,0
12,72063724941.65475,0.3574529784236802,0.7941806448138541,0.7176546222684952,0.7017439560219138,158.27,0
13,9.605667833352674,4.760827603687102,0.7958094397973763,0.714797016540036,0.6967893942249379,158.37,0
14,100066734.17129229,0.3603492849148447,0.7935297572176747,0.7164736258616192,0.6992928538560985,158.12,0
15,447741398.83297527,0.3620911724270824,0.7953932117370096,0.7114654793857598,0.7009944337511406,158.17,0
16,110886801474976.44,0.35819953780682645,0.7961149412334361,0.712443974688313,0.703319956530426,158.29,0
17,88626511709049.86,0.3588704722116401,0.7958860821271606,0.711476245131637,0.7030980631012314,158.15,0
18,49054598457.04254,0.36103191255195366,0.7976282679246263,0.7147216590526487,0.7037087283118789,158.44,0
19,264734534884765.62,296.0505641175335,0.7979607066158281,0.7109897214964896,0.7028269907630627,158.44,0
20,2013872908282.661,0.3673309298882904,0.7941562523577506,0.7106002323284537,0.7017305156729577,158.18,0
21,20599824889.032604,0.3661035967924535,0.7970736152065068,0.7126011525762821,0.7052743591344729,158.15,0
22,23005498787.117184,0.3699799828891382,0.7931364699025981,0.7153477010587497,0.7023749198619319,158.07,0
23,11991355.320984289,0.3728192349207274,0.7954028595196155,0.7125773663191503,0.7040469870567344,158.27,0
24,2602436469366782.0,0.37134368460969247,0.796109672467609,0.7183205519792768,0.7080669428989206,158.08,0
25,57831.23096312776,0.3926322014466112,0.79258964068536,0.712170976853693,0.7004996989804307,158.22,0
26,1.5256033860505946e+16,0.3784553721735005,0.7946983190739952,0.7110902659533463,0.700526180474581,158.01,0
27,123.60189881313376,0.3782524439133389,0.79166317057059,0.7098930213575437,0.7032903575448678,157.99,0
28,256106812026.58304,0.38509295824327194,0.7935075014182654,0.7120377484972245,0.7060635342232346,157.94,0
29,1281902809.258347,0.3937210242205814,0.7909926178512496,0.7120732098826882,0.7046804762850459,158.17,0
30,4.5133987051009315e+22,0.3915733403456105,0.7934835226315132,0.7119407555474079,0.7014269945827257,157.89,0
31,11278.090943182568,0.39483531151073736,0.7909911552403293,0.7116036969445201,0.7016528143747197,158.12,0
32,2.3519987692712186e+17,0.39999900697931307,0.789229117139634,0.7107714608441313,0.7000542144178054,158.1,0
33,10320299970.89513,29.22599359853902,0.7906171294337919,0.7083856274207582,0.7029373976803247,158.09,0
34,2285637761.81081,126.04472041767413,0.7875250063648033,0.709575709391545,0.7000499718374024,158.16,0
