epoch,train_loss,val_loss,frame_f1,mean_iou,segment_f1
1,0.04318024048304603,0.03766747585784896,0.48334092273644613,0.24929511278195488,0.24929511278195488
2,0.03663671068345563,0.03445446902984067,0.4905061334345848,0.28032912035944973,0.24897235000646198
3,0.03398776836535436,0.03218527498858092,0.5189477315977852,0.42429683406233115,0.2743699629124642
4,0.03271017986193664,0.03161937757780341,0.5380882858732775,0.48181777016578387,0.3096908787145232
5,0.031625023559823266,0.030660461518857488,0.5426538117615868,0.4993013480476317,0.32064612962011446
6,0.030889772722346748,0.029906977069585172,0.5493437989375676,0.5444473339609681,0.3372550165910616
7,0.030343733247362514,0.029820921900857212,0.5705444148978198,0.5365728367844078,0.4050882573455402
8,0.029893078479964967,0.029245155618378992,0.5669489677067577,0.5373782394536974,0.38592438613317626
9,0.029546911903637726,0.02918763447875031,0.5671442917897329,0.5466042014124998,0.41735140319977393
10,0.02919993995339829,0.02904178692322028,0.5630414454732267,0.5643495452179663,0.36882792879328075
11,0.02890323313468762,0.029434399371196452,0.5735809726177789,0.5828524824545782,0.41873983477032106
12,0.02861459543332177,0.02868011178924961,0.5792753946994512,0.5494443146731671,0.4058736601433382
13,0.028383999667437345,0.02827777981730108,0.5711642372915997,0.5650900860624378,0.4092586560483652
14,0.028164922460569893,0.02833781952626611,0.5851905194465442,0.5583739839555215,0.4463357076229227
15,0.02790369807256705,0.028034289910184935,0.5828084783673542,0.5705882408742027,0.4216213378821948
16,0.02768903894686682,0.028061923735487954,0.5822553499889969,0.5575944393759136,0.41769135111614136
17,0.027476195234580846,0.02803734691001307,0.5869238931309647,0.5743475405489777,0.45246466745202474
18,0.02725598407495353,0.028179354752112824,0.6054059792149077,0.5562102734426875,0.47175107140606876
19,0.027059405216887565,0.02774469387416441,0.589816216585206,0.566961154029564,0.44625257171863203
20,0.02689895062249596,0.027698179094218893,0.5942190326534141,0.5632117312505219,0.455077342050072
21,0.026697606078073692,0.027685229134346758,0.5941870954750252,0.5616258631815839,0.46291541705295325
22,0.02654854886465322,0.02759781725970762,0.5987209080166954,0.5654705407158108,0.46821007195717906
23,0.026385192342783043,0.027842279243514054,0.5844436324932115,0.5716194439452574,0.4365678667281936
24,0.026261167936623378,0.027571271859893675,0.5966188875853419,0.5548130434703317,0.4730934745694632
25,0.02614517991383702,0.027603734904354003,0.5986040135759388,0.5637599426750955,0.476640723117923
26,0.026036423051347447,0.027506153792478984,0.6006807265267047,0.5653240164134069,0.48003365092797257
27,0.02594317213006023,0.027517647752048152,0.5954683339207602,0.5703598532603943,0.4674871293597841
28,0.025881522519271925,0.027564960013710914,0.598828134435098,0.5665156641623139,0.4716266537580991
29,0.025851852586755982,0.027505214711217054,0.5969406766660802,0.5675546927086668,0.4712769278102011
30,0.02580992480311999,0.027536681587142602,0.5975734324084205,0.5664645812165199,0.4703579773612691
