epoch,train_loss,val_loss,frame_f1,mean_iou,segment_f1
1,0.04579258580357117,0.04083752531306188,0.4613908508873117,0.22911606287078454,0.2277108522996681
2,0.03968225604382724,0.03763047081271285,0.4747932043065087,0.28751743754095416,0.23257690705741407
3,0.03726426103869681,0.03671569232233709,0.48532585825388075,0.23221139692060283,0.22850965409142568
4,0.03641967353868788,0.036037297653300424,0.4856273577491318,0.2476337907224979,0.22940705972749653
5,0.03594606792512166,0.03563915845706947,0.49327800450495646,0.24065644418097534,0.22889796435881582
6,0.03539714059685471,0.03514113719049925,0.5076615932464876,0.4017896167567067,0.25337331652544176
7,0.03509842532488698,0.035132575261973796,0.4922196370968798,0.30522980760188645,0.23372651215061993
8,0.034599354925605764,0.0382555402339177,0.506755211251253,0.3772476118145168,0.24553097404345628
9,0.034198651961077235,0.03399123058871443,0.5002169712544721,0.3374767875247607,0.2391073843023591
10,13.019972510497295,0.03386539689272194,0.4999790429760739,0.33217458852107884,0.23886309484718618
11,0.03341923408883776,0.0334375944422712,0.5153040851168424,0.4227317681496024,0.26261800367021876
12,0.033061494771917325,0.033073591775631996,0.5168362514009593,0.42551637754085003,0.26383716389625866
13,0.03282073387006217,0.03267540319129489,0.5221960983048383,0.45644664115696804,0.28356659189179084
14,0.03244496077621836,0.032532819238652415,0.5254847318742176,0.46963165223164033,0.29118088820018195
15,0.03233961708819153,0.03232497600768518,0.5293775068846752,0.47562133553634395,0.29492920515336074
16,0.03196281372094194,0.03212403791039286,0.5286822006160986,0.46335055057921776,0.28620093015711934
17,0.031784346374541014,0.032145911988739236,0.5291752397454628,0.4712008086249021,0.29589833882238664
18,0.03156261710562303,0.03186997526178235,0.5387525244059684,0.4842495215571618,0.3122232638397486
19,0.03138130364094189,0.031775079023345074,0.5340730912977646,0.4844732444125111,0.3021633664034169
20,0.031196436596588845,0.031980366887230625,0.5277516262459002,0.47311084972946404,0.30191349301274667
21,0.03104665928665836,0.03161079314698402,0.5337433153160057,0.48481232366148036,0.30239570523623444
22,0.030906812490442883,0.03158131383247394,0.5379790656194953,0.488647900428608,0.30716303371061704
23,0.030774851052507955,0.031504162769288496,0.5356440005300621,0.48035061324239237,0.30706090138307907
24,0.0306572038662776,0.0316141454846059,0.5453881380273272,0.4925620613754554,0.3265878053526121
25,0.030559770559467615,0.03150448204487338,0.5348027888618314,0.48165414322077343,0.30780880058258986
26,0.03048369185490404,0.03147735956117959,0.5420712446020436,0.48811398006319767,0.32169895637404655
27,0.03041971317736218,0.0314750324276493,0.5439360982250853,0.4913266837414192,0.32771866270228145
28,0.030372501378124774,0.03144141359086659,0.5412121995579545,0.48397713332267966,0.32443522136564734
29,0.030339880334301073,0.031442201741852034,0.5409854926479637,0.4853510698612287,0.3255086319300542
30,0.030322862557519627,0.0314474140076821,0.5413141301094723,0.48622257327715596,0.32405031229306647
