epoch,train_loss,val_loss,frame_f1,mean_iou,segment_f1,epoch_time,epoch_nan_count
1,3.083769758857016e+22,0.5099458069981613,0.7254619633659325,0.7266164446512603,0.7200142248321861,546.12,5
2,1.685868128000186e+23,0.47297007390414897,0.7363567873058124,0.7336581992805851,0.7236653396793709,545.86,0
3,27222203.87729366,0.4578666055414314,0.7451786498519277,0.7407445966011188,0.7334010578403775,545.72,0
4,20208476.70238593,0.4560666267167031,0.7486552833249503,0.7436622869248245,0.7381730475764021,546.59,0
5,33797872.487726726,0.45548528086007645,0.7515202314714499,0.7439765541949881,0.7419247636765599,545.22,0
6,6831590873.321901,1594410.8390799155,0.7541188973872489,0.7465691493187007,0.7428993117760142,546.28,0
7,17.62935954512463,0.596194781798706,0.7559812941929444,0.7485273883553829,0.7435272014357849,547.09,0
8,2.2403750648822442,79087.47288604466,0.7602993634980693,0.7489926257937541,0.7477180812988014,545.98,0
9,6.939448786117502e+18,10.639513865836573,0.7578236212716906,0.752974061247628,0.7498089844379588,545.65,1
10,0.6963433192793683,0.44714460207785517,0.7594895912093222,0.7519401087758765,0.7485575497093349,546.39,0
11,712.6481051979129,0.5990982748569152,0.7618862487641883,0.7531659750459396,0.7476888446019072,546.94,0
12,184.21472500955898,37058112579.85262,0.7591896548793509,0.7531594040310954,0.7486078164477241,546.2,0
13,36.069859445256995,0.4520754436115542,0.7586064986214978,0.7545471527714535,0.749306110333334,546.74,0
14,18491043.96876961,142611.85727266857,0.7640672523833333,0.7543368760213426,0.7527750350321307,546.54,0
15,506225.3238039597,0.43756469705152023,0.7607691993555282,0.7544445696884854,0.7511158968926648,546.01,0
16,6218.205406786274,0.4467269423670758,0.762698977971698,0.751250978216881,0.7495741578467073,546.79,0
17,13.916354993523479,0.4564883823939603,0.7616772052952578,0.7549656599636277,0.7506186412720591,545.65,0
18,13265.204458839155,529.4008709051126,0.7613453031349661,0.7524443012198663,0.751188546273371,546.1,0
