epoch,train_loss,val_loss,frame_f1,mean_iou,segment_f1,epoch_time,epoch_nan_count
1,2.2662974394848678e+18,0.5002626313505504,0.7168591058165801,0.7223290953302498,0.7118843689561504,488.21,0
2,16826571.1993375,0.46815555339091103,0.7337847850950397,0.7378327726274994,0.7299466836270269,484.73,0
3,1.979369733957618e+24,0.463220472037892,0.7416029963852321,0.7417795155020477,0.7322264333881897,483.97,0
4,6404425.807117901,0.44989643136385615,0.7479301561311861,0.7475897681736667,0.7378035567910086,480.95,0
5,3399086088285796.5,0.443881035776747,0.7527616967852029,0.7510931527793372,0.7426622241909665,485.51,0
6,1.5717123309682383e+20,0.4400075170354937,0.7539764983091598,0.7495107627225356,0.745925732904779,484.88,1
7,0.9771305247115208,0.47900524225173313,0.7579514527528685,0.7540322183074357,0.7476186869044612,485.64,0
8,0.9330202050352686,0.43924013763293673,0.7562532753871856,0.7528907806243782,0.7485279571623825,485.51,0
9,7524176168215.339,0.4389070248495832,0.7589740087607004,0.7558854680481022,0.749188376939592,484.74,0
10,245501940778.01376,0.43095725312834543,0.7596781814921713,0.7552384659697023,0.7510973223576342,487.03,0
11,15237226437459.164,0.43347816744305045,0.760812263258481,0.7570595954758955,0.7535164156297777,486.03,0
12,1467534340.5800524,6.296975441289581e+18,0.757587986343708,0.7543045907680811,0.7502942918061688,486.98,0
13,4449842532871311.5,0.43001834558816265,0.7624323136021275,0.7570819672813464,0.7534786211417119,486.16,0
14,1491536.3536317258,0.43635072077341486,0.7602183456453082,0.7581904198704646,0.7525860314514784,486.54,0
15,3727660.7435656637,0.4361459682826706,0.7628114493589028,0.7541866725379193,0.7535795017694914,486.83,0
16,1453149.1129633014,0.43858691435067465,0.761653128150595,0.7558070450997492,0.7523489456943847,484.83,0
17,146.21685379837575,0.6963944908264165,0.7620101650786971,0.7587660950926174,0.7535307312506796,484.76,1
18,2.5353119480542225e+28,0.4391033756154394,0.7618200753359807,0.753588914817464,0.7524228450033249,486.64,0
19,0.4308376116622982,0.4396111129400839,0.7619320875246467,0.7570541341243476,0.753005787015428,483.96,0
20,0.3895183982496655,0.4485134347310688,0.7590427302650716,0.7560684401737331,0.7528961930317482,488.09,0
21,2.187523678464106e+28,0.4452546401573273,0.7583525328763959,0.7561501207677778,0.7533660705951872,485.98,0
22,17.736231930786545,0.4465161015940501,0.7605750936248789,0.7567485703867393,0.7541306475734961,484.98,0
23,10.409165319741813,0.4508341604825968,0.7594701470684342,0.7551595044677428,0.7518259181682272,485.3,0
24,869520909171.3175,1.742501055778788,0.7589647426235967,0.7547491283459064,0.7511594720273331,485.65,0
25,1.4097443335453206,0.4584869215211802,0.7574488896404498,0.754056108818171,0.7514566661453436,482.6,0
26,95.65681981004454,0.4501291552745307,0.7584975590570406,0.754259380752708,0.7516000395169665,488.07,1
27,0.3603000642640911,0.4592831346157801,0.758517806545957,0.7526637318352458,0.7508188073636718,485.46,0
