epoch,train_loss,val_loss,frame_f1,mean_iou,segment_f1,epoch_time
1,0.05559436337436548,0.05128750826155109,0.45742531957522564,0.27966938142196607,0.22485379640479983,74.08
2,0.04854290881202944,486.59272367184406,0.5207366350119071,0.4259607695617691,0.28632049761436995,74.36
3,0.04786726616484353,0.04625967175776797,0.5355674359749604,0.4498738821911642,0.3074743018482058,74.51
4,0.04432224199042538,0.045059704943034885,0.535816944179554,0.46313304128143884,0.3006604699752831,74.5
5,0.04313686810672395,nan,0.5793197561029306,0.46147470025620857,0.35848573793816163,74.6
6,752545657163.7269,425375014180263.5,0.5953614498638572,0.47273172842510763,0.38664095175465313,74.7
7,0.04197112937052708,0.042851069052808714,0.5914418936323007,0.4955393477734169,0.3711657647148967,73.09
8,0.04097724410752624,0.04195982961446271,0.6111574121104072,0.4791852886205361,0.4052798078880094,73.04
9,5.166355294061442,0.04158312060583131,0.6094878573229799,0.476869675368824,0.4111032853721676,74.71
10,0.039710901468894014,0.04098105166611591,0.6032937004996161,0.489982802471161,0.38736837387179796,74.85
11,0.039166913563368065,0.04060037003451944,0.6150638834521898,0.4904686738211677,0.41559074129734264,74.89
12,0.038700078821016684,0.04005054588940807,0.6157745538809155,0.49865492435118064,0.40641995833391376,74.75
13,0.03821198184397458,0.03981890936235064,0.6399356691959501,0.5036873915432409,0.43942417301899034,74.98
14,0.03772396965148787,0.039276524705994395,0.6405404576489878,0.4794044615896662,0.441654913284398,73.26
15,0.037416778939816465,0.03903855172623145,0.6383936047431036,0.4848605430914428,0.4456570626482165,73.37
16,0.03699206791400713,0.03873920982661552,0.6314249484030908,0.5059464597253335,0.4346515781114844,72.48
17,0.03662746981235323,0.03869207401556852,0.6508802157129165,0.4958523740802434,0.45647664638146196,73.34
18,0.036327850987359515,0.03848605059591451,0.6416267888314592,0.49508266252992705,0.44360703464523654,72.8
19,0.036060442156184695,0.03823868382750149,0.6361715849031752,0.5017642257053916,0.4353038314300337,72.51
20,0.035772175107172316,0.03804904940237004,0.6469570179441776,0.5058143127122986,0.45196742224661884,72.85
21,0.03554211988897815,0.037940476852980326,0.6431037019921567,0.5035176659322578,0.4440696426081652,72.82
22,0.03532941844542344,0.037863726566608684,0.6493098442531678,0.5057887575426979,0.4533301326337439,72.77
23,0.03512258461822112,0.03790408621465129,0.6485725881533472,0.49359115822151006,0.4556083003740858,73.23
24,0.034965286288312206,0.03785149835722339,0.6470794330818197,0.49718692752314264,0.45107257754983193,73.76
25,0.03481132331218311,0.037840765935922026,0.648317493155419,0.4959318124513967,0.453392049279061,72.87
26,0.03468815144151449,0.037805244697720036,0.6477907062618469,0.4977833663139896,0.4525237057582288,72.36
27,0.03459214235405155,0.03775376872740742,0.6499831314720892,0.4984406846039528,0.4558348223136623,72.2
28,0.034522454539338464,0.037749057131490314,0.6506485518016082,0.5004115757213433,0.4561396392898254,72.11
29,0.034473451406900155,0.037800022821061145,0.651768227643993,0.5010776807828334,0.4583142022154104,72.09
30,0.03444485107643737,0.03779860732278654,0.6514336374324905,0.5008876128354097,0.45737769400125944,72.12

Average Time Per Epoch:,1m 13s
Total Training Time:,36m 44s
