epoch,train_loss,val_loss,frame_f1,mean_iou,segment_f1
1,0.05700381858417621,0.04310938450167092,0.45498551575756785,0.17797256097560976,0.17797256097560976
2,0.04164129621134355,0.04147910292646507,0.45554455390739584,0.17742999280352154,0.17199927863551898
3,0.040023612265403456,0.039918166607981774,0.46545673565609635,0.1881825825509162,0.16392784657468382
4,0.03847915517596098,0.03864062720591702,0.47822793312972045,0.23996867909063413,0.16551460715269445
5,0.03745799145446374,0.03788672244494281,0.473879156226455,0.2563846008577765,0.1756541499680745
6,0.03660956652691731,0.037449318529447405,0.4784677154956788,0.28266070484046946,0.1793587064257085
7,0.03605413965880871,0.0366044744349471,0.4977589600350158,0.31673338407495044,0.18789100756303279
8,0.03557515929524715,0.0363384282625303,0.4981084413280335,0.34406253307944934,0.19328491161433917
9,0.03505579246351352,0.035524584829989006,0.5029544074486826,0.37685726147185633,0.20142468963459173
10,0.03481955697330145,0.035710454259703796,0.513606540781654,0.3763307399512668,0.20329752666082837
11,0.034313371915083664,0.0351540072616644,0.4940639612765839,0.3304602536244489,0.19190159321596986
12,0.03418249820287411,0.03490213647757361,0.5114043892556794,0.38144168928630534,0.20376654697075494
13,0.04079355177971033,0.034641638670752685,0.5098864612053882,0.3754704330775468,0.20223663717183257
14,0.03355750882281707,0.034328728346381246,0.5041013917862215,0.3601842608248274,0.19880821097818574
15,0.03332613152380173,0.03417848568500542,0.5227532076620371,0.4089166263665318,0.2269264256122374
16,0.03309311360120773,0.034031409156940334,0.5135381059645193,0.3872622315407189,0.21048369640463419
17,0.03296768081302826,0.03384573276086551,0.5307431220928358,0.4189229109525439,0.24572130068776385
18,0.03280427288550597,0.03427063089954417,0.5085080268982204,0.3976914018547027,0.21892027844664405
19,0.03272440212277266,0.033592518532603255,0.5233468565813068,0.40645691436841913,0.2275332754700545
20,0.032496143161104274,0.033508161832464904,0.5181126625508075,0.39978824746795943,0.21739219763914575
21,0.03234700835668124,0.03355932992133426,0.5383607314377308,0.4385543861675052,0.26063831569323415
22,0.03229189918591426,0.03321939491008113,0.5278056213871868,0.4213215061670829,0.25045801093968606
23,0.0321420260404165,0.033151537338953194,0.5339605255508173,0.4218333555384671,0.24879393007147643
24,0.03206781677901745,0.033088702276894234,0.530562926980721,0.4271239674857441,0.2503484510807096
25,0.031976595165637826,0.03305497079542497,0.5330615975484724,0.4226751928515247,0.25278578243485195
26,0.03192612157418177,0.033061467860711784,0.5331811084352586,0.4253518280000772,0.25156580307923393
27,0.031894896569160315,0.03299130960481196,0.5319731943948052,0.42415839274813205,0.2542023868154192
28,0.03182310289488389,0.03297206430082641,0.5340800630776535,0.4227844778170479,0.2578962031310355
29,0.03183363772355593,0.03296511983726083,0.5322511609742252,0.42084746453404104,0.2528694506411152
30,0.03180967970536305,0.032963103864614554,0.5338543007731607,0.42240254489916335,0.2547711559160423
