epoch,train_loss,val_loss,frame_f1,mean_iou,segment_f1,epoch_time,epoch_nan_count
1,0.7115091336521442,0.45997584451342355,0.7289648106888889,0.6607180809303691,0.6222407108364468,91.55,0
2,1.8190254570780249,0.438804361485873,0.7284501901623994,0.6615934666021648,0.6174532885770787,91.42,0
3,49518.89178492322,0.4253147102851496,0.7459413269942139,0.6790218646921518,0.6433892072429241,91.82,0
4,4484498987.763445,0.41701888582493,0.7501926011637853,0.6827251292829668,0.6558574343713174,91.62,0
5,7.054686886826784,0.4105299961836961,0.7546148317311847,0.6900969776192187,0.6530879576642546,91.71,0
6,22937165.217127427,114.28736678260474,0.7546514727145575,0.6881045716252856,0.6546180621503055,91.81,0
7,1793.497629386719,0.40916773827484576,0.7569052776893321,0.6871361928696691,0.6618321031368459,91.84,0
8,0.4642818596355886,0.44559644566337786,0.7565842360573554,0.680986185328926,0.6613187425321596,91.56,0
9,7113.853819307847,1.7632109140351924,0.7592154556525902,0.6902524611267243,0.6671634096789043,91.48,0
10,5.763075454658595,0.39503329138962134,0.7656522555491908,0.6922808318385976,0.6669050239521223,92.05,0
11,95.71227918904462,1.5687147435729039,0.767021700045391,0.6896599400104606,0.6712849242040854,91.64,0
12,29025837691289.434,65.19572943382593,0.7640528899944082,0.6940012640281525,0.666621521742169,91.69,0
13,0.4483160313937699,2.792894425794362,0.7668155045466613,0.6876802540312917,0.6681020647307507,91.72,0
14,0.45054631564657655,0.3940468004517685,0.7653524246374772,0.6922944236517439,0.6715393262019295,91.75,0
15,2.1116027517280545,0.3938731995721527,0.7659301162501809,0.6958526180194035,0.671403252958282,91.58,0
16,645135912.7948905,0.3932890393162607,0.768507085560192,0.6976229067470188,0.6742601365951348,91.63,0
17,6473474894.655856,0.39577933195569376,0.7656815346358522,0.7000748299538778,0.671799202931373,91.79,0
18,0.43462828971234085,0.40387523622819177,0.7672901555258622,0.6894088380305237,0.6769690193882614,91.89,0
19,228451.03867381182,162507613.75320083,0.7682229572948427,0.6912324178030484,0.6743243223274076,91.62,0
20,0.5130543253696244,0.392989103527381,0.7703491446982754,0.6935810063074275,0.6800784509979547,91.77,0
21,14869.938817955765,0.3953652596569186,0.7687202560070947,0.6945956067376039,0.6747371987249073,91.83,0
22,28934402.044143982,0.39498772274539473,0.7707831090090356,0.69472932931915,0.6791385399070851,91.79,0
23,75234900911.36101,0.7428744244965413,0.7706585502951239,0.6944559698212249,0.6795136547135894,91.8,0
24,294.75509388192364,0.4104840745661735,0.7682697817047944,0.6993672349574817,0.675272310188775,91.77,0
25,44354.67032470208,0.4920760510093641,0.7652032035586526,0.6936500933154708,0.6725898353915596,91.8,0
26,3.7059547300052835,0.4038411519074322,0.7661662041406074,0.691735039503679,0.6776554408178552,92.08,0
27,136.71354510574656,0.3987938818815589,0.7683739356654654,0.6965458652815617,0.6771066342945747,92.1,0
28,9291.018089838111,0.4044735632393305,0.7668149964262245,0.6951420953995768,0.6750681120790468,91.85,0
29,15.225345027671361,0.40165029582380696,0.7677615300784852,0.6928181089272747,0.6756631073387893,91.82,0
30,93958.70007847466,0.4015286341720295,0.7683254352689726,0.6948207526628951,0.6802187040026869,91.76,0
31,182.174166997783,0.4038564833698409,0.7664830274973276,0.6910538123250674,0.6758327932199055,91.65,0
32,939685013894.7894,0.4035587467270808,0.7700390851567739,0.6946518198878519,0.6797098452207835,92.02,0
