epoch,train_loss,val_loss,frame_f1,mean_iou,segment_f1,epoch_time
1,0.056163489688784166,0.05281487076466245,0.45305115808406443,0.27271144841364203,0.2146279313759684,428.1
2,0.04867026830186783,0.047947068299566,0.5266123842173821,0.4224198857160838,0.28599936235946133,71.44
3,0.0460323351803683,0.053228730531899554,0.5498238093790427,0.4267209055209596,0.31391242424921595,70.88
4,0.04500559444158652,0.04635535805885281,0.5414672816309083,0.42551999481037867,0.3068959147290624,69.65
5,0.04420886409211125,0.048100903763302734,0.5534038619258854,0.4346385093735868,0.32518644194168467,69.5
6,0.04350113370254103,0.044129399918860064,0.5679047320696842,0.45078175321684677,0.33744985577681613,68.51
7,302800.2634464041,0.043733642128457255,0.578533317120149,0.44711493940084307,0.3530742802452736,67.77
8,0.13481012688644525,0.04308478493607582,0.5946633820886826,0.4489305870965642,0.3757255627091064,67.84
9,0.041908513721282084,0.042885397189765945,0.58915992033221,0.4642678087285657,0.363793936013451,67.86
10,0.041253113145755846,0.04226104452281742,0.5997132311138531,0.46141268085847403,0.3818460949525307,67.55
11,0.040715693342701136,0.04190030219243433,0.5954968294697431,0.4542956625553262,0.37615369904726065,67.8
12,0.040471680576364084,0.04131098245655684,0.6068533914416485,0.45140448526289373,0.3892607913710665,67.77
13,0.03980258313619765,0.04119264758787209,0.6083430013634754,0.45267895668663527,0.39310096824998453,67.67
14,0.0393630374528173,0.040718851106843555,0.6136200189260035,0.46684617356014985,0.4033136337146863,67.97
15,0.03900767651276063,0.0406286075459163,0.6096690251085435,0.4551706391855808,0.39632421396342443,67.41
16,0.0386210810393095,0.04040218174765657,0.6179856446775374,0.4596281917225356,0.40020578326147144,67.29
17,0.038307929359790355,0.040082830746651144,0.6175056591846657,0.4646505218457777,0.41080197616542363,66.51
18,0.037997794162180354,0.03986903635042727,0.6205492077416906,0.4705229728730869,0.4105635020168437,66.51
19,0.037774516100312974,0.039881507284883266,0.6142966782660597,0.46658490489272825,0.4058619111432611,66.55
20,0.03753422613197801,0.04221751846905265,0.6229667297598919,0.4757422392696206,0.41513038483139836,66.66
21,0.03726943498635191,0.039759742369161064,0.6241476288411534,0.4821138470544726,0.41421001809443747,67.45
22,0.03708499907945649,0.039632704564111124,0.6206740136522568,0.4727276628125826,0.4150604588892998,69.73
23,0.036899604993344416,0.10043345234896008,0.6256953580563618,0.4711211823700645,0.4202016536379023,68.77
24,0.036741694510018144,0.03997376047186833,0.6246369413156039,0.4678400340378074,0.42105611343453314,68.8
25,0.03660722510106932,0.048010002576598994,0.6306701388629783,0.47239399140047594,0.4246281736403023,68.42
26,0.036504445110821286,0.04356307222654945,0.6305056960195647,0.4712824995103062,0.4252344086461695,68.61
27,0.03641555138921502,0.04911134525769411,0.626316709633045,0.4643796015742632,0.4202486744431878,68.48
28,0.036349908371584,0.050191895195976235,0.6283088054404367,0.4688868204161553,0.42282673701557977,68.38
29,0.036305758123428136,0.08150050320655555,0.6287217269558307,0.46911163719639337,0.42248920004472384,68.43
30,0.0362801063181429,0.060407472235199655,0.6293310893575516,0.4684021645254059,0.4236373180505541,68.38

Average Time Per Epoch:,1m 20s
Total Training Time:,40m 6s
